id,rank,common_name,french_name,order,family,subfamily,genus,species,annotation,status_accidental,status_hawaiian,status_introduced,status_nonbreeding,status_extinct,status_misplaced
2,species,Highland Tinamou,Tinamou de Bonaparte,Tinamiformes,Tinamidae,,Nothocercus,Nothocercus bonapartei,"","","","","","",""
1,species,Great Tinamou,Grand Tinamou,Tinamiformes,Tinamidae,,Tinamus,Tinamus major,"","","","","","",""
3,species,Little Tinamou,Tinamou soui,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus soui,"","","","","","",""
4,species,Thicket Tinamou,Tinamou cannelle,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus cinnamomeus,"","","","","","",""
5,species,Slaty-breasted Tinamou,Tinamou de Boucard,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus boucardi,"","","","","","",""
6,species,Choco Tinamou,Tinamou de Kerr,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus kerriae,Monotypic.,"","","","","",""
7,species,White-faced Whistling-Duck,Dendrocygne veuf,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna viduata,Monotypic.,"","","","","",""
8,species,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna autumnalis,"","","","","","",""
9,species,West Indian Whistling-Duck,Dendrocygne des Antilles,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna arborea,Monotypic.,"","","","","",""
10,species,Fulvous Whistling-Duck,Dendrocygne fauve,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna bicolor,Monotypic.,"","","","","",""
11,species,Taiga Bean-Goose,Oie des moissons,Anseriformes,Anatidae,Anserinae,Anser,Anser fabalis,"",A,"","","","",""
12,species,Tundra Bean-Goose,Oie de la toundra,Anseriformes,Anatidae,Anserinae,Anser,Anser serrirostris,"",A,"","","","",""
13,species,Pink-footed Goose,Oie à bec court,Anseriformes,Anatidae,Anserinae,Anser,Anser brachyrhynchus,Monotypic. Considered subspecies of <i>A. fabalis</i> by Peters (1979).,A,"","","","",""
14,species,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anserinae,Anser,Anser albifrons,"","","","","","",""
15,species,Lesser White-fronted Goose,Oie naine,Anseriformes,Anatidae,Anserinae,Anser,Anser erythropus,Monotypic.,A,"","","","",""
2049,species,Graylag Goose,Oie cendrée,Anseriformes,Anatidae,Anserinae,Anser,Anser anser,"",A,"","","","",""
16,species,Emperor Goose,Oie empereur,Anseriformes,Anatidae,Anserinae,Chen,Chen canagica,Monotypic.,"","","","","",""
17,species,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anserinae,Chen,Chen caerulescens,"","","","","","",""
18,species,Ross's Goose,Oie de Ross,Anseriformes,Anatidae,Anserinae,Chen,Chen rossii,Monotypic.,"","","","","",""
19,species,Brant,Bernache cravant,Anseriformes,Anatidae,Anserinae,Branta,Branta bernicla,"","","","","","",""
20,species,Barnacle Goose,Bernache nonnette,Anseriformes,Anatidae,Anserinae,Branta,Branta leucopsis,Monotypic.,A,"","","","",""
21,species,Cackling Goose,Bernache de Hutchins,Anseriformes,Anatidae,Anserinae,Branta,Branta hutchinsii,"","","","","","",""
22,species,Canada Goose,Bernache du Canada,Anseriformes,Anatidae,Anserinae,Branta,Branta canadensis,"","","","","","",""
23,species,Hawaiian Goose,Bernache néné,Anseriformes,Anatidae,Anserinae,Branta,Branta sandvicensis,Monotypic.,"",H,"","","",""
